"FechaPublicacion","FechaInicioCargo","FechaFinCargo","CodigoSICAgente","CodigoPlanta","Tecnologia","OEF"
"2024-02-16","2046-12-01","2047-11-30","SOLAR EL EDEN S.A.S.","PARQUE SOLAR FOTOVOLTAICO MELGAR DE 180 MW","Solar",372314
"2024-02-16","2046-12-01","2047-11-30","GENERADORA BUENAVISTA S.A.S.","PARQUE SOLAR LA VIRGINIA","Solar",311900
"2024-02-16","2046-12-01","2047-11-30","PARQUE SOLAR COLOMBIA I S.A.S. E.S.P.","PARQUE DE GENERACI?N FOTOVOLTAICA LA PRIMAVERA DE 57 MW","Solar",90195
"2024-02-16","2046-12-01","2047-11-30","PROYECTO SOLAR MATIMBA II S.A.S.","EFIGEN C03 99 MW","Solar",204913
"2024-02-16","2046-12-01","2047-11-30","PARQUE SOLAR PUERTA DE ORO S.A.S.","PARQUE SOLAR PUERTA DE ORO","Solar",607484
"2024-02-16","2046-12-01","2047-11-30","OPERADORA SHANGRI-LA S.A.S. E.S.P.","PARQUE FOTOVOLTAICO SHANGRI-LA 160 MW","Solar",541984
"2024-02-16","2046-12-01","2047-11-30","BOSQUES SOLARES DE LOS LLANOS 6 S.A.S E.S.P","BOSQUES SOLARES DE LOS LLANOS 6","Solar",228345
"2024-02-16","2046-12-01","2047-11-30","FOTOVOLTAICO TOLIMA NORTE S.A.S.","PARQUE SOLAR FOTOVOLTAICO TOLIMA NORTE 50MW","Solar",96947
"2024-02-16","2046-12-01","2047-11-30","PARQUE SOLAR COLOMBIA XIV S.A.S. E.S.P","MISAK","Solar",150019
"2024-02-16","2046-12-01","2047-11-30","SOLANO RENOVABLES S.A.S.","PARQUE SOLAR FOTOVOLTAICO FLOREO 200 MW","Solar",437932
"2024-02-16","2046-12-01","2047-11-30","BARZALOSA S.A.S.","BARZALOSA","Solar",210778
"2024-02-16","2046-12-01","2047-11-30","PROYECTO SOLAR COROZO S.A.S.","EL COROZO","Solar",547627
"2024-02-16","2046-12-01","2047-11-30","LA ORQUIDEA SOLAR S.A.S","PLANTA SOLAR LA ORQU?DEA 200 MW","Solar",344828
"2024-02-16","2046-12-01","2047-11-30","PARQUE SOLAR COLOMBIA X S.A.S. E.S.P.","PARQUE DE GENERACI?N FOTOVOLTAICO LA PALOMA 40 MW","Solar",78830
"2024-02-16","2046-12-01","2047-11-30","EL CAMPANO SOLAR S.A.S.","PARQUE SOLAR EL CAMPANO - 99.9 MW","Solar",331397
"2024-02-16","2046-12-01","2047-11-30","SOLAR LAS MARIAS S.A.S. E.S.P.","PARQUE SOLAR LAS MARIAS","Solar",170663
"2024-02-16","2046-12-01","2047-11-30","NUEVAS ENERGIAS II S.A.S.","PARQUE SOLAR FOTOVOLTAICO MATIMBA","Solar",312073
"2024-02-16","2046-12-01","2047-11-30","CME CONSTRUCCI?N Y MANUTENCI?N ELECTROMEC?NICA. S.A. SUCURSAL COLOMBIA","PARQUE SOLAR VILLAVIEJA DE 200 MW","Solar",404860
"2024-02-16","2046-12-01","2047-11-30","TAMARINO COLOMBIA S.A.S.","TAMARINO SOLAR","Solar",415288
"2024-02-16","2046-12-01","2047-11-30","GENERADORA SAN JOAQUIN S.A.S.","PARQUE SOLAR LAS PALMERAS","Solar",430285
